id,FailureModes.Description,Platforms.Name as Platfrom,Components.Name as Component,SubComponents.Name as SubComponent,FailureModes.Functionality
862,"User does not click on the ""Physical PM Started "" button",C2C3,UI,Auto PM,"Notification of Physical  PM started "
863,"User does not click on the ""Physical PM Completed "" button",C2C3,UI,Auto PM,"Notification of Auto PM Operation"
864,"Wafer processing will not start after module completed Auto PM",C2C3,Scheduler,Wafer Sequence,"Wafer Processing should start after module completed Auto PM"
865,"Module requets like -Clean/ROR/shutdown is not granted/created/executed due to Auto PM request in queue",C2C3,Scheduler,Operation Execution,"Module requests denied due to Auto PM operation"
866,"Software acknowledges the manual intervention steps as it is, even if they are not performed correctly",C2C3,Program Executor,Module capability,"Physical Intervention Steps"
867,"Auto PM UI is not shown or is cluttered",C2C3,UI,Auto PM,"Correct UI gets loaded for Auto PM scrren depending on the CE setting selected"
868,"User is able to execute Auto PM steps  without completion of previous steps in the Auto PM sequence. ",C2C3,UI,Auto PM,"Pre conditional checks for UI buttons for Pre PM and Post PM"
869,"Correct Pop ups are not displayed or the information in the pop ups are not relevant",C2C3,UI,Auto PM,"Notification to the user"
870,"Even when valid programs are selected ,those programs are not run during Auto PM",C2C3,UI,Auto PM,"The program and Parameter selected in the drop down lists needs to be executed successfully"
871,"SVID query returns incorrect information",C2C3,FA,VID updates and management,"The dropdown lists containing the program and parameter should give the correct values when queried through SVIDs"
872,"Some of the entries in the PCM report is missing or incorrect",C2C3,Utilities,PCM,"All the programs and parameters selected as part of the drop down list in the Auto PM screen should be present in the PCM report"
873,"List file execution fails.",C2C3,Program Executor,List Execution,"List files executes successfully"
874,"""1. List execution continues even without acknowledgement from user for Yes/No Pop up 2. List execution continues with No confirmation by user on Yes/No pop up.""",C2C3,Utilities,PCM,"List execution is blocked till ack from customer for Yes/No pop up"
875,"The list execution starts from the beginning.",C2C3,Program,Program error list,"Error recovery - Resume starts list execution from the nearest recoverable step (should not start list execution from beginning)"
876,"Program error",C2C3,Program,Program Execution,"Auto PM program executes successfully"
877,"""1. Program may not be shown in drop down combo box (hide slot is not correct)2. Program may be shown in recipe creation path which is not expected (hide slot is not correct).3. Program upgrade does not happen (link slot is not correct)4. Error recovery does not work as expected (step type is not correct).5. Program/parameter can be deleted (perm slot is 0)6. Program parameter value is not saved on power cycle (grup slot is not """"\0"""").7. Program timeout happens (step time out and timer are not set correctly)""",C2C3,Program,Program saving,"Program slots are correct"
878,New Programs are not migrated or modified or deleted.,Nexus,Program Manager,Programs,Clean programs should contain a setting of clean flag to false command when skipping clean sue to accumulation.
879,Invalid Data Structure,C2C3,Program,Metadata,Clamshell interlock fix for wafer detonating in the clamshell
880,Name List returned a empty list.,C2C3,FA,VID updates and management,"CEID Name List Request"
881,"S1F23 message reply i.e. S1F24 message did not get received by host.",C2C3,FA,VID updates and management,"CEID Name List Request"
882,The message is rejected. without a name list reply.,C2C3,FA,VID updates and management,"CEID Name List Request"
883,A zero list is send for a particular CEID,C2C3,FA,VID updates and management,CEID name list request
884,"Ecid (for the Checkbox)is enabled, when scheduler is running",C2C3,Scheduler,Wafer Sequence,Re - Pretreat wafers
885,Cassette marked abnormal after the wafers were re-pretreated,C2C3,Scheduler,Wafer Sequence,Re- Pretreat wafers
886,"""Re-Pretreat wafers"" checkbox was enabled. Keepwettimer expired and wafers were marked abnormal. But the wafers were re-pretreated. ",C2C3,Scheduler,Wafer Sequence,Re-Pretreat wafers
887,"""Re-Pretreat wafers"" checkbox was enabled in the scheduler screen. Wafer was present in a module and the module errored out. Did a purge .Wafers came back to cassette and were re-pretreated",C2C3,Scheduler,Wafer Sequence,Re-Pretreat wafers
888,"""Re-Pretreat wafers"" checkbox was enabled in the scheduler screen. CassA and CassB were loaded with wafers with incomaptible recipes. Last wafer from cassA was processing in a module and the wafer was marked abnormal because of timeout error. Get ready of the module started",C2C3,Scheduler,Wafer Sequence,Re-Pretreat wafers
889,New operation may take over leak check operation after the current operation is completed.,Nexus,Module,Leak Check,Periodic Leak Check Operation Execution after the current recipe operation is completed
890,Periodic Leak Check Functionality is enabled. The standby list is not updated and the old standby list is being used.,Nexus,Module,Leak Check,Perioidc Leak Check List Execution
891,Periodic Leak Check Operation was already created. Another request for periodic leak check execution on the same module is done (one week has elapsed).,Nexus,Module,Leak Check,Periodic Leak Check Execution.
892,Leak Check List required for periodic leak check execution is not present,Nexus,Module,Leak Check,Periodic Leak Check Execution
893,The current process type is Unknown (No process is done on the module) / Current process type is default.,Nexus,Module,Leak Check,Periodic Leak Check Execution as part of standby list
894,"PM get ready is executed, but LL preprocess PV Cycles are not started",C2C3,Program Executor,Service request,Running PV cycle with getready to improve particle issues. 
895,"Get Ready list starts, PV cycle operation is created and run. Get redy list errors and on resuming, another Pre process PV Cycle operation is created and run when wafers are still not picked up by FE.The same can happen when there are wafers in tool and dcvd get ready is run during ER.",C2C3,Scheduler,Service request,PV cycle run more than desired.
896,Short Precoat PV cycle count is executed.,C2C3,Program Executor,Service request,"Executing PV cycle. "
897,"Long Precoat PV cycle count is executed",C2C3,Program Executor,Service request,Executing PV cycle
898,"Long Precoat PV cycle count is executed",C2C3,Program Executor,Service request,PV cycle executed more than desired.
900,"Pre process PV cycles are executed for a long precoat PV cycle count value even though long precoat value is set to 0",C2C3,Program Executor,Service request,Running PV cycle.
901,"Pre process PV cycles are executed for a short precoat PV cycle count value even though short precoat value is set to 0",C2C3,Program Executor,Service request,Executing PV cycle.
902,"PV cycles are executed even though long and short precoat PV cycle count parameters are not present.",C2C3,Program Executor,Service request,Pump Vent cycle execution
903,"LL outder door is opened duing PV Cycles.",C2C3,Program Executor,Program Management,Program execution during pump vent cycle in loadlock
904,"Pre Process PV Cycles are NOT executed in LL L or RLL only.",C2C3,Scheduler,Service request,Executing PV cycle.
905,"PV cycles are executed more than 1 time",C2C3,Scheduler,Service request,PV cycle execution
906,PV cycles are executed with wafer in LL,C2C3,Scheduler,Service request,Executing PV cycle to improve particles.
907,"Pre Process PV operation is created during wafer run",C2C3,Scheduler,Service request,Execuing PV cycle .
908,"More than one PV cycle operation is created.",C2C3,Scheduler,Operation Management,Executing PV cycle to improve particles.
909,"PV cycle operation is created with LL in error",C2C3,Scheduler,Operation Management,Executring  PV cycle.
910,"Intra PV operation is not executed in these configurations.",C2C3,Scheduler,Module request,Executing PV cycle.
911,"PV cycles execution gets skipped",C2C3,Program Executor,Utilities,Execute PV Cycle.
912,"PV cycles execution gets skipped",C2C3,Scheduler,Service request,Execute PV cycle to improve particle.
913,"PV cycles execution gets skipped",C2C3,Scheduler,Operation Management,Execute PV cycle.
914,"""Re-Pretreat wafers checkbox"" enabled . Timer expired and the wafers were marked abnormal. The last wafer came back to cassette. End of batch event got triggered",C2C3,Scheduler,Wafer Sequence,Re-pretreat wafers
915,Wafer path blocked for offloading wafers,C2C3,Scheduler,Wafer Path,Wafer Routing with PV cycle.
916,"Pump vent list exectuion goes into infinite loop.",C2C3,Program Executor,Service request,Execute pump vent cycle.
917,"""1) Failure to overwrite """"pvct"". value is overwitten with SPCT PV Cycle count 2) Overwrite """"pvct"""" value with negetive number""",C2C3,Program Executor,Service request,Exeucting PV cycle.
918,"PV cycles happen with Particle Partition recipies",C2C3,Program Executor,Service request,Execute PV cycle. 
919,"Program errors on boot up",C2C3,Program Executor,Program Execution,Program exeuction with IOC sequence substep monitoring.
920,"""1) Default warn and fault limits are not set. 2) IOC sequence specific warn and fault limits are not set.""",C2C3,Program Executor,Program Execution,Program exeuction with IOC sequence substep monitoring.
921,"Values of Sequence warn and fault limits are different compared to default warn and fault limits.",C2C3,Program Executor,Program Management,Program exeuction with IOC sequence substep monitoring.
922,"IOC sequence substep monitoring is enabled/disabled in the process program parameter set, but the slot ""enSq"" under ""SQNC"" is not set/reset.",C2C3,Program Executor,Program Management,Program exeuction with IOC sequence substep monitoring.
923,"The file in which dummy vmfc object is defined is not loaded.",C2C3,Module mainL,Device,Program exeuction with IOC sequence substep monitoring.
924,"""1) Dummy MFC device is NOT added in the IOC sequence.2) Dummy MFC device is NOT added in the beginning of PreA, SDT or PosA.""",C2C3,Module mainL,Device,Program exeuction with IOC sequence substep monitoring.
925,"1) Dummy MFC filter method is not triggered.",C2C3,Module mainL,Device,Program exeuction with IOC sequence substep monitoring.
926,"Default warn and fault limits are applied during PreA/PosA",C2C3,Program Executor,Program Execution,Program exeuction with IOC sequence substep monitoring.
927,"Warn and fault limits applicable in SDT are applied ",C2C3,Program Executor,Program Execution,Program exeuction with IOC sequence substep monitoring.
928,"""1) IOC sequence substep monitoring is enabled when depsotion program is not executing.2) IOC sequence substep monitroring is enabled when program execution is completed.""",C2C3,Program Executor,Program Execution,Program exeuction with IOC sequence substep monitoring.
929,"IOC sequence substep monitoring is enabled after deposition program execution is errors/aborts.",C2C3,Program Executor,Program Management,Executing program with IOC sequence substep monitoring.
930,"1) Dummy MFC filter method is triggered randomly.",C2C3,Module mainL,Device,IOC sequence substepo monitoring.
931,Standby lists are incorrectly modified,Nexus,Module,Leak Check,Periodic Leak Check execution
932,User has set the periodic leak check time. But has disabled the periodic leak check functionality.,Nexus,Module,Leak Check,Periodic Leak Check Execution at the set time
933,The scheduled leak check settings are set and enabled. (Leak Check after x module number of soft-shutdowns / Time between two leak checks). But leak check will still not be executed as part of the standby list,Nexus,Module,Leak Check,Scheduled Leak Check Execution
934,Auto Leak Check execution doesn't happen even though the user has modified the settings.,Nexus,Module,Leak Check,Auto Leak Check Execution
935,New functionality is not available after installation.,C2C3,Install,Fresh Install,New functionality is available after installation.
936,CE Settings for the options are not retained over migration.,C2C3,Migrate,Migrate,CE Settings values are correctly migrated.
937,"1. The new object is not present.2. The behavior of the new object is not correct.",C2C3,Devices,Sensor,A new object is added to work on the sensor status.
938,HF Purge list is not aborted.,C2C3,Program Executor,List Execution,Abort HF Purge list when vl16 open sensor goes OFF.
939,New feature is not listed under CE settings.,C2C3,UI,Configuration Editor,New feature is available under CE settings.
940,Settings are not retained over an upgrade.,C2C3,Install,Upgrade,Settings are retained over an upgrade.
941,"HF Purge list is aborted, even when new CE setting is disabled.",C2C3,Program Executor,List Execution,HF Purge list is NOT aborted when new CE setting is disabled to support Backward compatibility.
942,CVD-D Pump to Base program does not abort.,C2C3,Program,Program Execution,Independent execution of CVD-D Pump to Base program aborts when manual valve is left open.
943,Sched Deadlock,C2C3,Scheduler,Module request,NCas
944,Negative set point sent to the device.,Nexus,Devices,Flow controllers (MFC/LFC),Device set point. 
945,Negative set point sent to the device.,Nexus,Devices,RF generator,Device set point. 
946,Set point greater than the size of the device is set.,Nexus,Devices,Flow controllers (MFC/LFC),Device set point.
947,Set point greater than the size of the device is set.,Nexus,Devices,RF generator,Device set point.
948,ZERO set point is sent to the device.,Nexus,Devices,Flow controllers (MFC/LFC),Device set point
949,ZERO set point is sent to the device.,Nexus,Devices,RF generator,Device set point
950,Calculated set points shown in alarm screen with device failure.,Nexus,Devices,Flow controllers (MFC/LFC),Device failure
951,Calculated set points shown in alarm screen with device failure.,Nexus,Devices,RF generator,Device failure
952,FDC issue as output read is not within the range of set point.,Nexus,Factory automation,VID Manager,FDC Data collection.
953,Set point and output do not match with the user set points.,Nexus,UI Screens,UI Screens,Device monitoring.
954,Process results does not match with golden tool even with offset and magnitude set by the user. ,Nexus,Process,Program Manager,Process results.
955,Incorrect data on set point and output. Does not match with user set points. ,Nexus,UI Utilities,Wafer Log Viewer,Wafer history log data
956,User entering wrong values.,Nexus,UI Screens,UI Screens,Invalid character entered in magnitude and offset columns.
957,Any user belonging to any group can launch this window.,Nexus,UI Screens,UI Screens,Launching HFT window.
958,"All values of magnitude, offset and timeout timer are reset back to default values. ",Nexus,Devices,Flow controllers (MFC/LFC),Data persistence
959,"All values of magnitude, offset and timeout timer are reset back to default values. ",Nexus,Devices,RF generator,Data persistence
960,"Even CE option ""PCW Isolation valve"" is set to installed, moudle UI still does not display PCW isolation valve device",Nexus,UI Screens,UI Screens,PCW isolation valve device should show up in module UI
961,"Enable Communication Check box missing on UI/Unable to check the checkbox",C2C3,Devices,FFU,FFU Datalogger VG
962,"Data for PMB is displayed even though PMB is not installed",C2C3,Devices,FFU,FFU Datalogger VG/C2_MainL
963,"FFU icon shows up on UI even though the feature is not installed",C2C3,Devices,FFU,FFU Datalogger VG
964,"Software not able to communicate with Serial Device.",C2C3,Devices,FFU,FFU Datalogger Communication
965,"Command message not being received by Slave device.",C2C3,Devices,FFU,FFU Datalogger Communication
966,"Response message not being received by Master device.",C2C3,Devices,FFU,FFU Datalogger Communication
967,Clean gets triggerred to run again and again,Nexus,Module Program Executor,Program Execution,Wafer clean counter gets reset in the system default clean program
968,Dummy standby list gets triggerred to run again and again,Nexus,Module Program Executor,List Execution,"Wafer clean counter gets reset by ""Program [Admin Tasks - Do Not Run Offline] + parameter [Reset Wafer Clean Counter]"" in the dummy standby list"
969,Clean program gets skipped in the standby list,Nexus,Module Program Executor,List Execution,Clean program is executed in the standby list
983,Incomplete Error recovery for Scheduled based Automatic rate of rise,C2C3,Program Executor,RoR,Automatic Rate Of Rise
984,Data Collectiona and Post collection steps not performed,C2C3,Program Executor,RoR,Error recovery during Shutdown based Auto matic error recovery
985,Automatic ROR not completed as a part of error recovery.,C2C3,Program Executor,RoR,Error recovery during Number of Cassette Based Automatic ROR
986,Data Collection and Post collection steps not completed as a part of Error recovery for Chamber Clean based Rate of rise,C2C3,Program Executor,RoR,Error recovery for Chamber Clean based Rate of rise error  recovery
987,Device failure error occurs during Rate of Rise execution,C2C3,Program Executor,RoR,Error recovery if ROR erred during Data collection step of Automatic ROR 
988,Error occurs during Post Collection step of ROR execution and Error recovery is  skipped for Post collection step of Automatic rate of rise,C2C3,Program Executor,RoR,Error recovery during Post Collection step of Automatic Rate of Rise
989,Software internal error before the Start leak collection step is started,C2C3,Program Executor,RoR,Automatice Rate of Rise error recovery
990,User was unable to set the alarm to its default value,C2C3,Alarm,Alarm,Configurable alarm
991,Configured alarms are not seen on other UI's,C2C3,Alarm,Alarm,configurable alarm
992,An invalid alarm ID is received.,C2C3,Alarm,Alarm,Configurable alarm 
993,Modify the severity of a critical alarm (Device failure). Appropriate action is not taken.,C2C3,Alarm,Alarm,Configurable alarm
994,Severity of alarm(s) are modified. The modified severity is not retained after tool power cycle or migration ,C2C3,Alarm,Alarm,Configurable alarm
995,Screen is blank on selection of either of the tabs.,C2C3,UI,Event Viewer,Configurable Alarm
996,Category list is empty.,C2C3,UI,Event Viewer,Configurable Alarm
997,"No action is taken when clicked on 'Apply' or 'Reset', no feed back to user.",C2C3,UI,Event Viewer,Configurable Alarm
998,Nothing happens when clicked on 'Export' button,C2C3,UI,Event Viewer,Configurable Alarm
999,The utility does not launch on clicking the 'Configure Alarms' button.,C2C3,UI,Event Viewer,Configurable Alarm
1000,deletion,C2C3,Alarm,Alarm,deleted
1001,Not able to open recipe manager,Nexus,Recipes,Recipe Manager,Recipe manager app should open without any issues
1002,Recipe doesn’t display the loadlock overriden program,Nexus,Program Manager,Programs,Recipe should display all the loadlock overriden programs
1003,Scheduler deadlock,Nexus,Scheduler,Rules,Wafer run with loadlock overrides should complete without any issues
1004,PE Errors during execution of pump/vent/prepare for transfer,Nexus,Module Program Executor,Program Execution,"Pump, vent and prepare for transfer with the load lock overrides should execute without any problem."
1005,device not correctly controlled,C2C3,Module mainL,Device,software algorithm must control device to specification
1006,action meant for one device is taken on a different device.,C2C3,Module mainL,Device,code that manages multiple devices or is shared by multiple devices must share correctly
1007,"UI control does not correctly govern behavior of warnings/faults, going online, or control algorithm.",C2C3,Devices,Sensor,"enable/disable/warning/fault UI control has correct impact on control algorithm, warnings, faults, going online"
1008,"I/O for device in derived module maps to same I/O point as for ""master"" module, or maps to wrong or non-existent I/O point",C2C3,Module mainL,Device,I/O for devices in derived modules must map to the correct I/O points
1009,"Both MARS logging and MCC logging is installed, user selected MARS logging in Configuration editor. MARS logging screen was visible. ",C2C3,Access,Licensing,"MCC EQ logging, #MCC"
1010,User installed the build which has MCC logging feature. MCC logging license is installed. But still log was not collected ,C2C3,Access,Licensing,"MCC EQ logging, #MCC"
1011,"Watchdog task is down,license expired. but still modules will be logging the data.",C2C3,Watchdog,Task monitoring,MCC EQ logging
1012,"MCC logging license is installed, access task is down. License status will not be availble",C2C3,Access,Licensing,MCC EQ logging #MCC
1013,"License expired, but still logging happens",C2C3,Access,Licensing,MCC EQ Logging : License should be continuously checked
1014,MARS logging license is installed and MARS UI will be displayed. User then installs MCC and still MARS logging UI is be visible. ,C2C3,Access,Licensing,MCC Eq logging #MCC
1015,"Forecast event not received by the host",Nexus,Scheduler,Operation Management,"Lot Forecasting event needs to be sent when the last wafer of the cassette reaches the forecast location"
1016,Forecast event not received by the host,Nexus,Scheduler,Operation Management,Lot Forecast needs to be recieved from the host
1017,Lot Forecast Event has been sent to the Host but the FOUP is not completed,Nexus,Scheduler,Operation Management,Lot forecast event sent to the host
1018,Forecast event recieved by the host but FOUP not completed during Loop mode,Nexus,Scheduler,Operation Management,Lot forecast sent to the host
1019,Unable to edit the lot fore cast check box,Nexus,UI Screens,UI Screens,Lot Forcast check box to enable or disable the feature
1020,Lot Forecast event recieved by the host but FOUP did not complete processing as the user hits the pause button,Nexus,Scheduler,Operation Execution,Lot Forecast event sent to the host
1021,Forecast event not recieved by the host,Nexus,Scheduler,Error handling,Forecast event has to be sent to the host
1022,"Forecast event sent wrongly to the Host",Nexus,Scheduler,Operation Management,Lot Forecast event needs to be sent to the host
1023,"Forecast event not received by the host",Nexus,Scheduler,Shutdown,Forcsat event has to be sent to the host when the last wafer of the casette reaches the forecast location
1024,"Forecast event sent but carrier not kicked out",Nexus,Scheduler,Error handling,Lot Forecast event has to be sent to the host when the last wafer reaches the forecast location
1025,"Forecast event sent early",Nexus,Scheduler,Operation Management,Forecast event has to be sent to the host when the last wafer of the casette reaches the forecast location
1026,Dummy depositions run with P1 and default override set,Nexus,Process,Program Manager,When a recipe is started with a program P1 and override set o1. During get ready the dummy depositions should use p1 with o1 and not default parameter set
1027,"HF, LF Generator values are not added correctly to IOC sequence when multiple SDT and PosA columns are present.",C2C3,Devices,RF generator,"HF, LF generator is added to IOC sequence from SDT and PosA substeps."
1028, MFC flow values are not added correctly to IOC sequence when single/multiple SDT and PosA columns are present.,C2C3,Devices,Flow controllers (MFC/LFC),"MFC/LFC flow is added to IOC sequence from PreA, SDT and PosA substeps."
1029,"Forwarding update fails to get the tool ID",C2C3,Data Logger,MCC Logging,Get Tool ID
1030,During get ready dummy depositions is run with the number of times mentioned in override set and not tunned data,Nexus,Process,Program Manager,"During get ready if the pulsed precoat value is tunned, the get ready list shd run dummy depositions with the number mentioned in the tunned data"
1031,Backward compatibility of NON GIOC functionality is broken.,C2C3,Program,Sequence,To be deleted - NOT USED
1032,"MFC flow values are not added correctly to IOC sequence when multiple SDT and PosA columns are present.HF, LF Generator values are not added correctly to IOC sequence when multiple SDT and PosA columns are present.",C2C3,Program,Sequence,"IOC sequence with multiple PreA, SDT and PosA columns"
1033,"Backward compatibility for IOCF enabled with ""Manifold A gas flow during PosA"" is broken.",C2C3,Program,Sequence,"Installing ""Manifold A gas flow during PosA"" in CE and selecting enabled in IOCF parameter provides backward compatiblity. "
1034,"MFC outlet valve does not open even though MFC has a setpoint during IOC sequence execution in PreA, SDT and PosA.",C2C3,Devices,Valve,"MFC inlet and outlet valve for an MFC that flows gas in PreA, SDT and PosA are open during IOC sequence execution."
1035,Incorrect remaining dep time is shown during ER of IOC sequence execution failure. ,C2C3,Program Executor,Program Execution,Error Recovery of IOC sequence executoin failure shows correct remaining dep time. 
1036,Failure to apply SDT and/or PosA comp correctly. Batch PDS DVIDs are not reported or reported with incorrect data. ,C2C3,Program,Program Execution,SDT comp and PosA comp are applied correctly and batch PDS DVIDs are reported for SDT comp and PosA comp.
1037,Failed to apply ABBEC comp for SDT and/or PosA columns and corresponding SVIDs are not updated. ,C2C3,Program,Program Execution,ABBEC comp is applied for SDT and PosA columns and corresponding SVIDs are updated. 
1038,Incorrect remaining dep time is shown during ER of IOC sequence execution failure. ,C2C3,Program,Program Execution,Remaining dep time during ER shows correct value. 
1039,Failure to apply SDT and/or PosA comp correctly. ,C2C3,Program,Program Execution,SDT and/or PosA comp are applied during program executoin 
1040,Failed to apply ABBEC comp for SDT and/or PosA columns and corresponding SVIDs are not updated. ,C2C3,Program,Program Execution,To be deleted - NOT USED
1041,Failure to trigger DVIDs for PosA comp,C2C3,FA,VID updates and management,To be deleted - NOT USED
1042,Failure to update SVIDs for ABBEC comp,C2C3,FA,VID updates and management,SVIDs updated for ABBEC Comp
1043,Failure to record PosA comp in wafer history,C2C3,Wafer History,Wafer History,Wafer histroy record for PosA comp
1044,Failure to record ABBEC comp in wafer history,C2C3,Wafer History,Wafer History,To be deleted - NOT USED
1045,"1) Failed to open serial port for communication2) Failed to transmit or receive data3) Failed to establish communication with AE power supply ",C2C3,Devices,Power supply,AE Power Supply initialization on boot up
1046,Command data fails to reach AE Power Supply,C2C3,Devices,Power supply,Transmitting commands to AE Power Supply
1047,Commands fail to reach AE Power Supply within timeout period,C2C3,Devices,Power supply,Transmitting commands to AE Power Supply
1048,"Commands reached AE Power Supply within alloted time, but are corrupted.",C2C3,Devices,Power supply,Transmitting commands to AE Power Supply
1049,Timed out waiting for a response,C2C3,Devices,Power supply,Receiving responses from AE Power Supply
1050,Command resend while PS is still in command response mode.,C2C3,Devices,Power supply,"Do not send NAK to AE PS on mis-matched command ID. Wait for software time out, then resend command."
1051,Command never got to PS.,C2C3,Devices,Power supply,"Do not send NAK to AE PS on mis-matched command ID. Wait for software time out, then resend command."
1052,Command sent to PS is delayed for greater than software timeout which is currently at 300 ms.,C2C3,Devices,Power supply,"Do not send NAK to AE PS on mis-matched command ID. Wait for software time out, then resend command."
1053,"PS fail to set message timeout to 200ms, instead retain default 500ms timeout.",C2C3,Devices,Power supply,Programming PS message timeout to 200ms
1054,CEID indicating Start of ROR is triggered during ER for RoR.,C2C3,Program Executor,RoR,Prevent CEID indicating Start of ROR from re-triggering during ER for RoR.
1055,CEID indicating Start of ROR is not triggered at all.,C2C3,Program Executor,RoR,CEID indicating Start of ROR is triggered only at the start of RoR.
1056,CEID for timer alert value is not triggered as per the new value set on UI and triggers for the initial value set.,C2C3,Program Executor,RoR,CEID for timer alert value is triggered as per the value set on RoR Screen.
1057,RoR starts execution with wafer(s) in module,C2C3,Program Executor,RoR,Prevent RoR execution with wafer(s) in module
1058,Manual RoR is executed when module is online.,C2C3,Program Executor,RoR,Prevent manual RoR execution when module is online.
1059,RoR is not executed. ,C2C3,Program Executor,RoR,Manual RoR is executed when the module is offline and is initiated through a button click.
1060,"1. Alarm text for loadlock RoR result displays ROR2.2. Alarm text for loadlock RoR result is not displayed.",C2C3,Program Executor,RoR,Alarm text for loadlock RoR result displays ROR1.
1061,"1. Alarm text for dcvd RoR result is not displayed.2. Alarm text for dcvd RoR result displays ROR2 for program1 and ROR1 for program2.3. Alarm text for dcvd RoR result displays either only ROR1 or ROR2 for both programs.",C2C3,Program Executor,RoR,Alarm text for dcvd RoR result displays ROR1 for program1 and ROR2 for program2.
1062,Pop-up text is incorrect.,C2C3,Program Executor,RoR,"On aborting any process apart from RoR, pop-up appears with the text ""Leakcheck is not in progress"" when module is offline."
1063,List is not aborted and module is still busy.,C2C3,Program Executor,List Execution,List is not executed if error is induced(non-program step) during offline mode execution and module is set free.
1064,Pop-up does not show updated text.,C2C3,Program Executor,RoR,Pop-up displays updated text when clicked on Abort button for ROR in offline mode.
1065,RoR is not executed.,C2C3,Program Executor,RoR,RoR is executed when no wafers are present in the module.
1066,RoR is not executed.,C2C3,Program Executor,RoR,RoR executes during Auto PM without issues.
1067,"Persisted data is not shown, default value is shown.",Nexus,Storage Manager,Storage Manager,Push pull Mode enable must be persisted over upgrade and power cycle
1068,Sched stalls.,Nexus,Scheduler,Wafer Sequencer,Scheduler has to sequence all wafers without any problem
1069,Track in track out message is sent as terminal message and still is not displayed on UI,C2C3,FA,FA-GUI,Track In track Out Terminal message
1070,The text boxes to display track in track out messages are not displayed on UI.,C2C3,UI,VG,Track In Track Out Message on UI
1071,The check box to controll Track In Track Out Message on UI is not displayed,C2C3,UI,VG,Track In Track Out Message on UI
1072,Module does accumulation over fault limit,Nexus,Scheduler,Wafer Sequencer,There must be no wafers taken out to system if the module cant process it and accumulation shouldnt go over fault limit
1073,"The check box is disabled, the Multiedit box to display Track In Track Out messages is still seen.",C2C3,FA,FA-GUI,Track In Track Out Terminal Message
1074,RoR is executed back to back.,C2C3,Program Executor,RoR,RoR is NOT executed back to back for any selected option.
1075,RoR is not executed.,C2C3,Program Executor,RoR,Automatic RoR is executed if enabled.
1076,Failed to load specified class of Programs under the dropdown on UI.,C2C3,UI,Program / Parameter Editor,Load Programs based on hide slot under drop down list.
1077,Failed to run Pre/Post conditioning purge Programs from the shutdown lists.,C2C3,Program Executor,List Execution,Execution of UI selected conditioning programs successfully
1078,Data regarding Pre and Post conditioning programs are not reported in PCM.,C2C3,UI,PCM,PCM report
1079,Failed to load derived and/or modified VG files.,C2C3,UI,VG,Loading derived and/or modified VG files.
1080,"Programs are failled to execute even though Pre/Post Program/parameters are selecetd and ""clean done>=Clean count"" condition is satisfied. ",C2C3,Program Executor,List Execution,Programs execution.
1081,"When user modifies clean count (N) value before Pre/Post conditioning programs are executed, Purge programs are not executed even though all conditions to trigger conditioning Programs are met.",C2C3,Program Executor,Program Execution,Execution of Pre/Post Programs. 
1082,"Purge programs are successfully executed even though ""Clean Count (N) value is 0 and"" Pre/Post programs/parameter are not NONE/NONE.",C2C3,Program Executor,List Execution,List steps are executed based on conditions specified.
1083,Pre/Post conditioning Programs are executed.,C2C3,Program Executor,List Execution,"When Pre/Post conditioning Programs are not selected and N=0, Conditioning Programs should not execute."
1084,"1. Failed to query/update VID values.2. Wrong values are reported when VID's are queried.3. NFA doesnot initialize.",C2C3,FA,VID updates and management,Querying and updating VID's.
1085,Failed to run Shutdown lists when Pre/Post conditioning feature is disabled.,C2C3,Program Executor,List Execution,Backward Compatibility.
1086,"1) Get ready is executed between two recipes when there is a change only in the thickness parameter.2) Get ready is skipped between two recipes when there is change in parameters outside thickness parameter and simP daf.",C2C3,Program Executor,Module capability,Execute Get Ready between two recipes on non thickness change (with Get Ready Strategy Enabled)
1087,"1) Executes get ready when both the recipes are of same film type.2) Skip get ready when both the recipes are of different film type.",C2C3,Program Executor,Module capability,Execute Get Ready between two recipes on film change (with Get Ready Strategy Enabled)
1088,"1) Execute get ready between two recipes of same film type (one single step and one multi step) on film change strategy is selected and ""enable check between single and multi step recipe"" is enabled.2) Skip get ready between two recipes of same film type (one single step and one multi step) on film change strategy is selected and ""enable check between single and multi step recipe"" is disabled.",C2C3,Program Executor,Module capability,Execute Get Ready on film change (single step to multi step recipe or vice versa)
1089,"1) Execute get ready when both the recipes are of same film type and same temperature.2) Skip get ready when both the recipes are of same film type and different temperature.",C2C3,Program Executor,Module capability,Execute Get Ready between two recipes on film change and same temperature (with Get Ready Strategy Enabled) 
1090,ECID set/reset does not enable/disable the checkbox.,C2C3,FA,VID updates and management,ECID set/reset to enable/disable the checkbox.
1091,"Failed to set/reset the flag.",C2C3,Program Executor,List Execution,Set/Reset the flag slots in the list.
1092,Failed to reset the clean counter.,C2C3,Program Executor,List Execution,Resetting the clean counter after executing conditionig program(Pre or Post) in the shutdown list.
1093,Failed to increment clean counter even after clean execution.,C2C3,Program Executor,List Execution,Increment clean counter after every clean.
1094,When shutdown list is errored and as part of ER - Resume is selected. Observed that List starts execution from  the stpe 1 and not the errored step,C2C3,Program Executor,List Execution,"On Error Recovery- Resume(when list errores out), list should start executing from errored step(not from the begining of the list)."
